,text,user
0,RT @Auxyan: @JoeBiden Like the other Communist Dictators of the World! We Venezuelans know that very well. The communist nightmare begins l…,Auxyan
1,@JoeBiden Like the other Communist Dictators of the World! We Venezuelans know that very well. The communist nightm… https://t.co/BcfPAn2oIe,Auxyan
2,@JoeBiden How about a statement of Hunter's corrupt Ukraine and Chinese deals,DenisKaluku
3,@JoeBiden https://t.co/pwuhRa1Bv8,CM23623745
4,@JoeBiden https://t.co/KnpHIfa2xr,nosnevel
5,@JoeBiden Had no idea the 3 strikes rule was to help black Americans gain wealth. Thought it was to break up the black family.,assforkr
6,@JoeBiden @JoeBiden so awesome,jo_sh_ua_James
7,@JoeBiden Vote Joe,KierSuzanne
8,@JoeBiden @KamalaHarris smoken CRACK… like Hunter Biden.   Lets all ride that purple unicorn…. I mean why not.,mydogti
9,@JoeBiden Nice pandering big guy! You are going to forget them after the election like all dems do with minorities.,cybervato66
10,@JoeBiden Vote Joe,KierSuzanne
11,@JoeBiden BIDEN 2020,Maddie43369198
12,RT @BalancedTake: @JoeBiden @funkygy123 I had never voted in a US election until this year...I turned 18 in early 2012. I believed US polit…,funkygy123
13,"@JoeBiden dropped mine, as well as the other elligble voter's in the house at our nearest drop off box👍",Speedmcs3
14,@JoeBiden Lair,guneryumlu
15,@JoeBiden be on guard ✌🏽 https://t.co/sNLJ1MCxto,vizzon11
16,"@JoeBiden @ABC He's not qualified to be #POTUS IQ? Emotional intelligence? NOT ""articulate""! #HunterBiden WHITE PRI… https://t.co/9VRxYC7qOe",roomtotalk
17,@JoeBiden Feeykke nuze,haleyyy12
18,@JoeBiden How come my people did not get reparations when you and Obama were in office? And during the primaries th… https://t.co/bj9DzOeLaz,tnt46dog
19,RT @grandmagrit: @JoeBiden I already voted for Biden. How about you?,Lemkin43
20,RT @GIFNT: @JoeBiden is done. #JoeBidenMustStepDown and should be in an interview room right now. #CorruptJoeBiden #BidenCrimeFamiily is ex…,MariGrace07
21,"@JoeBiden Joey, your handlers are sending all these tweets out like you understand transgender people!!!",carrierdlr
22,@JoeBiden https://t.co/lddAUTb5v7,IMhereican
23,"RT @TrumpWarRoom: @JoeBiden Joe Biden had a favorite word for young Black men: ""predators"" https://t.co/FXPCtViAT2",Koreanmeat
24,@JoeBiden Got your back Joe! We’ll be dropping our votes off for you and Kamala this weekend.,milesfromnow
25,@JoeBiden Tell us about how you got rich old man? It's all on Hunter's laptop!!!,paw19910
26,"@JoeBiden #For2020 JoeBiden President,Kamala Harris Vice   I feel the wrath of God through the covid19 situation.… https://t.co/JFNdYXCPf4",LSungoun
27,"@JoeBiden Last night, during a townhall on ABC, Joe Biden endorsed gender transition for eight-year-old children... This is unbelievable.",yegorovmax
28,@JoeBiden @PhordTX Yes yes I already voted joe did u,comedian_b
29,"RT @margueritebloem: @JoeBiden you will be a beautiful president, joe biden. to put this kind of bold agenda out there. i live in a very li…",margueritebloem
30,@JoeBiden @steven_l_cox LOL ooooooooKkkkk,Koreanmeat
31,@JoeBiden Did you talk about the millions you received from the Chinese Government?  You’re as corrupt as Obama and… https://t.co/bs7LP83OBx,Madelin10623704
32,@JoeBiden Laws? Can you be more specific? https://t.co/FhdSiqa7f5,ELizaPo20371640
