,text,user
0,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…,NikKimmy
1,@realDonaldTrump https://t.co/qsPFJUGc6d,grandda20593882
2,@realDonaldTrump What the hell are you talking about sir?,DrKweku
3,"@realDonaldTrump @cspan Joe Biden’s town hall-style forum on Thursday night had 15.1 million viewers, while Preside… https://t.co/i1ztLfGHcB",MelieVMelieV
4,"@realDonaldTrump only follows 50 people on Twitter and they are all of the same mindset or his staff, with very lit… https://t.co/I7rnQHimWz",Yamnek
5,@realDonaldTrump Is running out of Rednecks.  That’s the tweet.  #AdiosMF,RknRandy
6,@realDonaldTrump You have packing to do!!!! Cannot wait until you are out!!!,roadraceace
7,@realDonaldTrump @POTUS 45 lies again! 45 &amp; his sorry ass Republican supporters in their seats they hold give 2 shi… https://t.co/fiEve2joxM,CatherineTrenn
8,RT @officialjtw: @realDonaldTrump first vote ever since becoming a US citizen in 2017. I will be voting for TRUMP!,BNailguy
9,@realDonaldTrump https://t.co/Vf7IAllarV,Shirley71841528
10,@realDonaldTrump Vote for the better man: vote for Joe Biden #VoteBidenHarris #VoteBidenHarris #VoteThemAllOut… https://t.co/Jt9aEEBy0D,CharResists
11,RT @DanielleCandela: @realDonaldTrump @TheBabylonBee I really don't care about Hillary's emails or Hunter's laptop or SQUIRREL! they want t…,PattyRoth18
12,"RT @Cleavon_MD: @realDonaldTrump 24 y.o. Davon Hill died from #COVID in #Florida. His father, a state-trooper was a nonbeliever until he go…",Delizl225
13,@realDonaldTrump #DodgyDonald  Covid-19 super spreader,OneWorldOrder
14,RT @prayerfeathers: @realDonaldTrump We understand that you will be looking for property in Russia. Here are some nice listings to get you…,judiadg
15,"@realDonaldTrump  Go to Russia! Unfortunately, you're lying again! https://t.co/2fCgDLwYcG",NatTremb_
16,@realDonaldTrump Time to flush the Turd!!! Bye-Bye Donny! 👋 https://t.co/3UoiD60XVC,amybushless
17,@realDonaldTrump ✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/yAA7yTEvqE,ThomasR66931773
18,@realDonaldTrump @SenatorCollins None of that made any sense... as usual.,GotThePhix
19,@realDonaldTrump trash president,damm_dirty_ape
20,@realDonaldTrump In your dreams,BarryHermanMD
21,@realDonaldTrump @NBCNews Trump fantasyland.,PatrickPepper10
22,@realDonaldTrump #Prayforgence,Ayhan55586239
23,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…,theWing04
24,@realDonaldTrump https://t.co/x1F80Jf7Ch,grandda20593882
25,RT @itsJeffTiedrich: @realDonaldTrump imagine a Republican incumbent having to waste time and resources in deeply-red Georgia two weeks bef…,ScottMorgan58
26,"RT @judgeyourself99: @realDonaldTrump #BlameTrump  20,000 plus lies  Highest Coronavirus cases worldwide  220,000 dead from #COVID19  Still…",2Heidishattuck7
27,@realDonaldTrump https://t.co/mcMcGWh0O7,Shirley71841528
28,@realDonaldTrump Just finished watching PETE SOUZA'S tribute to what a REAL PRESIDENT looks like. OBAMA was truly a… https://t.co/iUFG9re0YR,JL63315462
29,@realDonaldTrump Trump doing his best to spread COVID-19 to the ignorant...,HOGwino
30,"@realDonaldTrump @cspan Takes one to know one, lier.",Adolf91838389
31,"@realDonaldTrump Why not stay there.   Btw, soap &amp; towels are inventoried.  So don’t steal them.   The WH will need… https://t.co/DFiSxmQUff",Chefrmartinez
32,"@realDonaldTrump @TheBabylonBee You mean this bad news for YOU, you clown: https://t.co/mbC817xzfu",shaneqsmith
33,@realDonaldTrump @GStephanopoulos Idiot trump,darrenhope
34,"@realDonaldTrump I don't actually HATE the president, I don't hate anybody. I just thought this would be funny, so… https://t.co/tN8r33fhLK",OutSml
35,@realDonaldTrump Was Rick Gaetz there?,MotherOfOafes
36,@realDonaldTrump https://t.co/GAaGEFWpzz,GeorgeC94308079
37,"@realDonaldTrump  Libera os vôos aí, namoralzinha! Deixa eu ir logo, já está tdo abrindo normalmente 🙏🏼😔",JoaoPMarchesini
38,@realDonaldTrump 🙂,yyzjiben
39,@realDonaldTrump Zero tolerate for Hunter Biden please remove every Democrat for big corruption in us history 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,vinny83504940
40,@realDonaldTrump You’ve lied from day 1,todd84153196
41,"@realDonaldTrump If he was talking about you,he got it rigjt. You are a super predator!",AmyLitt98894863
